playerid;playerfullname;playerusename;positionabbrev;position;primarypositionabbrev
605253;Terrance Gore;Terrance;NULL;NULL;OF
117176;Otto Knabe;Otto;2B;Second Base;2B
111239;Bob Borkowski;Bob;NULL;NULL;OF
431171;Casey McGehee;Casey;3B;Third Base;3B
123246;Frank Thomas;Frank;NULL;NULL;LF
124754;Rollie Zeider;Rollie;2B;Second Base;2B
115935;Glenallen Hill;Glenallen;LF;Outfielder;RF
451687;Micah Hoffpauir;Micah;NULL;NULL;1B
118041;Red Lynn;Red;P;Pitcher;P
123092;El Tappe;El;C;Catcher;C
117641;Hank Leiber;Hank;LF;Outfielder;CF
119173;Paul Minner;Paul;P;Pitcher;P
519166;Neil RamĂ­rez;Neil;P;Pitcher;P
112408;Gene Clines;Gene;NULL;NULL;LF
113251;Frank Demaree;Frank;RF;Outfielder;RF
117628;Craig Lefferts;Craig;P;Pitcher;P
121676;Scott Sanders;Scott;P;Pitcher;P
116922;Frank Kellert;Frank;NULL;NULL;1B
425557;Jeff Baker;Jeff;2B;Second Base;2B
110358;Paul Assenmacher;Paul;P;Pitcher;P
641878;Ian Miller;Ian;NULL;NULL;CF
119028;Ralph Michaels;Ralph;3B;Third Base;3B
117457;Ced Landrum;Ced;LF;Outfielder;LF
115425;Bill Hanlon;Bill;1B;First Base;1B
502285;Tyler Ladendorf;Tyler;NULL;NULL;2B
656941;Kyle Schwarber;Kyle;LF;Outfielder;DH
133140;Scott McClain;Scott;NULL;NULL;1B
518934;DJ LeMahieu;DJ;2B;Second Base;3B
571740;Billy Hamilton;Billy;CF;Outfielder;RF
400268;J.C. Boscan;J.C.;C;Catcher;C
657240;Julian Merryweather;Julian;P;Pitcher;P
115048;Tom Grant;Tom;NULL;NULL;RF
122912;Bobby Sturgeon;Bobby;SS;Shortstop;SS
124300;Dewey Williams;Dewey;C;Catcher;C
120885;Pat Ragan;Pat;P;Pitcher;P
113524;Jim Doyle;Jim;3B;Third Base;3B
113039;Kal Daniels;Kal;LF;Outfielder;LF
113345;Lance Dickson;Lance;P;Pitcher;P
121663;Rey Sanchez;Rey;2B;Second Base;SS
112992;Babe Dahlgren;Babe;1B;First Base;1B
124695;Eric Young Sr.;Eric;2B;Second Base;2B
543903;Allen Webster;Allen;P;Pitcher;P
119547;Danny Murphy;Danny;CF;Outfielder;P
430935;Cole Hamels;Cole;P;Pitcher;P
123215;Moe Thacker;Moe;C;Catcher;C
123984;Doc Watson;Doc;P;Pitcher;P
116529;Doug Jennings;Doug;NULL;NULL;LF
121762;Jimmie Schaffer;Jimmie;C;Catcher;C
122671;Joe Stanley;Joe;LF;Outfielder;OF
121556;Glendon Rusch;Glendon;P;Pitcher;P
119511;Jerry Mumphrey;Jerry;CF;Outfielder;CF
115988;Don Hoak;Don;3B;Third Base;3B
110939;Damon Berryhill;Damon;C;Catcher;C
111577;Mordecai Brown;Mordecai;P;Pitcher;P
460701;James Russell;James;P;Pitcher;P
121663;Rey Sanchez;Rey;SS;Shortstop;SS
110395;Earl Averill;Earl;C;Catcher;C
119289;Charley Moore;Charley;SS;Shortstop;SS
110189;Moises Alou;Moises;LF;Outfielder;LF
110757;Clyde Beck;Clyde;SS;Shortstop;3B
450320;Carmen Pignatiello;Carmen;P;Pitcher;P
116679;Davy Jones;Davy;CF;Outfielder;LF
123572;John Upham;John;P;Pitcher;P
434567;Geovany Soto;Geovany;C;Catcher;C
543294;Kyle Hendricks;Kyle;P;Pitcher;P
111624;Mike Brumley;Mike;SS;Shortstop;SS
111970;Doug Capilla;Doug;P;Pitcher;P
110831;Les Bell;Les;3B;Third Base;3B
110262;Shane Andrews;Shane;3B;Third Base;3B
122004;Manny Seoane;Manny;P;Pitcher;P
124471;Casey Wise;Casey;2B;Second Base;2B
122645;Gale Staley;Gale;2B;Second Base;2B
121995;Mike Sember;Mike;3B;Third Base;3B
114431;Bernie Friberg;Bernie;2B;Second Base;3B
117336;Marty Krug;Marty;3B;Third Base;3B
605170;Victor Caratini;Victor;C;Catcher;C
119206;George Mitterwald;George;C;Catcher;C
641820;Trey Mancini;Trey;1B;First Base;1B
457384;Bobby Scales;Bobby;LF;Outfielder;LF
114378;Terry Francona;Terry;NULL;NULL;1B
116894;Vic Keen;Vic;P;Pitcher;P
502026;Jeremy Jeffress;Jeremy;P;Pitcher;P
665066;Tyler Payne;Tyler;C;Catcher;C
120630;Bill Plummer;Bill;C;Catcher;C
500779;Jose Quintana;Jose;P;Pitcher;P
115156;Denver Grigsby;Denver;LF;Outfielder;LF
614177;Franmil Reyes;Franmil;DH;Designated Hitter;LF
111281;Larry Bowa;Larry;SS;Shortstop;SS
476601;Michael Bowden;Michael;P;Pitcher;P
118241;Les Mann;Les;LF;Outfielder;LF
113157;Brian Dayett;Brian;NULL;NULL;LF
112251;Harry Chiti;Harry;C;Catcher;C
111090;Jeff Blauser;Jeff;SS;Shortstop;SS
113625;Jim Dunegan;Jim;P;Pitcher;P
116084;Jessie Hollins;Jessie;P;Pitcher;P
111196;Bill Bonham;Bill;P;Pitcher;P
116316;Todd Hundley;Todd;C;Catcher;C
116593;Howard Johnson;Howard;NULL;NULL;3B
446003;Jairo Asencio;Jairo;P;Pitcher;P
642239;Rob Zastryzny;Rob;P;Pitcher;P
475243;Travis Wood;Travis;P;Pitcher;P
120892;Chuck Rainey;Chuck;P;Pitcher;P
122426;Lee Smith;Lee;P;Pitcher;P
664731;P.J. Higgins;P.J.;C;Catcher;C
123540;Jim Tyrone;Jim;LF;Outfielder;OF
123456;Bill Tremel;Bill;P;Pitcher;P
114525;Augie Galan;Augie;2B;Second Base;LF
120560;Ray Pierce;Ray;P;Pitcher;P
114646;Charlie Gassaway;Charlie;P;Pitcher;P
113500;Phil Douglas;Phil;P;Pitcher;P
117846;Hans Lobert;Hans;3B;Third Base;3B
451584;Wade Davis;Wade;P;Pitcher;P
115476;Mike Harkey;Mike;P;Pitcher;P
458584;avier CedeĂ±o;avier;P;Pitcher;P
110090;Rick Aguilera;Rick;P;Pitcher;P
117304;Mike Kreevich;Mike;RF;Outfielder;CF
120391;Joe Pepitone;Joe;1B;First Base;1B
122453;Bob Smith;Bob;P;Pitcher;P
643524;Frank Schwindel;Frank;1B;First Base;1B
118533;Bill McCabe;Bill;RF;Outfielder;RF
116028;Guy Hoffman;Guy;P;Pitcher;P
615868;Gerardo Concepcion;Gerardo;P;Pitcher;P
113100;Curt Davis;Curt;P;Pitcher;P
453385;Clayton Richard;Clayton;P;Pitcher;P
150218;Jacque Jones;Jacque;CF;Outfielder;LF
111882;Marty Callaghan;Marty;RF;Outfielder;LF
120543;Eddie Pick;Eddie;3B;Third Base;3B
110139;Nick Allen;Nick;C;Catcher;C
112146;Phil Cavarretta;Phil;NULL;NULL;1B
122698;Arnold Statz;Arnold;CF;Outfielder;OF
116075;Todd Hollandsworth;Todd;RF;Outfielder;LF
120881;Ken Raffensberger;Ken;P;Pitcher;P
112064;Joe Carter;Joe;LF;Outfielder;LF
501817;Tony Barnette;Tony;P;Pitcher;P
518792;Jason Heyward;Jason;CF;Outfielder;RF
123069;Jerry Tabb;Jerry;NULL;NULL;1B
121800;Hank Schenz;Hank;3B;Third Base;2B
430906;Donnie Murphy;Donnie;3B;Third Base;3B
117512;Victor LaRose;Victor;2B;Second Base;SS
111937;Ron Campbell;Ron;SS;Shortstop;2B
111724;Leo Burke;Leo;NULL;NULL;RF
116609;Lou Johnson;Lou;RF;Outfielder;LF
110072;Bob Addis;Bob;CF;Outfielder;CF
453344;Brandon Morrow;Brandon;P;Pitcher;P
150038;Brian McNichol;Brian;P;Pitcher;P
407802;Cliff Bartosh;Cliff;P;Pitcher;P
114807;Paul Gillespie;Paul;C;Catcher;C
113157;Brian Dayett;Brian;LF;Outfielder;LF
114431;Bernie Friberg;Bernie;3B;Third Base;3B
113658;Leon Durham;Leon;LF;Outfielder;1B
116950;Joe Kelly;Joe;CF;Outfielder;CF
467008;Pedro Strop;Pedro;P;Pitcher;P
113052;Alvin Dark;Alvin;3B;Third Base;SS
123143;Zack Taylor;Zack;C;Catcher;C
120850;Luis Quinones;Luis;SS;Shortstop;3B
113795;Pete Elko;Pete;3B;Third Base;3B
111594;Tommy Brown;Tommy;SS;Shortstop;SS
116456;Elmer Jacobs;Elmer;P;Pitcher;P
115751;Steve Henderson;Steve;LF;Outfielder;LF
119238;Fritz Mollwitz;Fritz;1B;First Base;1B
122754;John Stephenson;John;C;Catcher;C
279912;Raul Gonzalez;Raul;LF;Outfielder;RF
543333;Eric Hosmer;Eric;DH;Designated Hitter;1B
664023;Ian Happ;Ian;CF;Outfielder;LF
425655;John Koronka;John;P;Pitcher;P
502125;Tyler Colvin;Tyler;CF;Outfielder;RF
123771;Ben Wade;Ben;P;Pitcher;P
117963;Peanuts Lowrey;Peanuts;3B;Third Base;LF
110047;Sparky Adams;Sparky;SS;Shortstop;2B
121693;Benito Santiago;Benito;C;Catcher;C
116038;Solly Hofman;Solly;1B;First Base;CF
118344;J.C. Martin;J.C.;C;Catcher;C
118547;Ale McCarthy;Ale;2B;Second Base;2B
123588;Bob Usher;Bob;NULL;NULL;CF
516684;Lendy Castillo;Lendy;P;Pitcher;P
115611;Grady Hatton;Grady;NULL;NULL;3B
117641;Hank Leiber;Hank;CF;Outfielder;CF
112332;Mark Clark;Mark;P;Pitcher;P
150009;Ramon Ortiz;Ramon;P;Pitcher;P
115316;John Hairston;John;C;Catcher;C
118708;Dan McGinn;Dan;P;Pitcher;P
121175;Reggie Richter;Reggie;P;Pitcher;P
117929;Andrew Lorraine;Andrew;P;Pitcher;P
120899;Bob Ramazzotti;Bob;2B;Second Base;2B
113168;Dizzy Dean;Dizzy;P;Pitcher;P
110349;Richie Ashburn;Richie;CF;Outfielder;CF
121440;Charlie Root;Charlie;P;Pitcher;P
115049;George Grantham;George;2B;Second Base;2B
118471;Derrick May;Derrick;NULL;NULL;LF
657145;Mark Zagunis;Mark;NULL;NULL;RF
642727;Sergio AlcĂˇntara;Sergio;SS;Shortstop;SS
150039;Chad Meyers;Chad;NULL;NULL;2B
123637;Hy Vandenberg;Hy;P;Pitcher;P
119630;Billy Myers;Billy;SS;Shortstop;SS
518960;Jonathan Lucroy;Jonathan;C;Catcher;C
112093;Larry Casian;Larry;P;Pitcher;P
119441;Jim Mosolf;Jim;LF;Outfielder;LF
118451;Gene Mauch;Gene;2B;Second Base;2B
118827;Norm McMillan;Norm;3B;Third Base;3B
120441;Scott Perry;Scott;P;Pitcher;P
592094;Jason Adam;Jason;P;Pitcher;P
450527;Ale Hinshaw;Ale;P;Pitcher;P
120653;Howie Pollet;Howie;P;Pitcher;P
117952;Grover Lowdermilk;Grover;P;Pitcher;P
121289;Don Robertson;Don;RF;Outfielder;RF
120531;Tom Phoebus;Tom;P;Pitcher;P
664023;Ian Happ;Ian;NULL;NULL;LF
119547;Danny Murphy;Danny;RF;Outfielder;P
110752;Ginger Beaumont;Ginger;CF;Outfielder;CF
119161;George Milstead;George;P;Pitcher;P
119925;Johnny O'Connor;Johnny;C;Catcher;C
119112;Bob Miller;Bob;P;Pitcher;P
122560;Al Spangler;Al;NULL;NULL;LF
117456;Hobie Landrith;Hobie;C;Catcher;C
434567;Geovany Soto;Geovany;NULL;NULL;C
116038;Solly Hofman;Solly;LF;Outfielder;CF
120671;Paul Popovich;Paul;SS;Shortstop;2B
123901;Jerome Walton;Jerome;CF;Outfielder;OF
119306;Johnny Moore;Johnny;RF;Outfielder;RF
116511;Hal Jeffcoat;Hal;CF;Outfielder;P
425532;Jerome Williams;Jerome;P;Pitcher;P
118460;Carmen Mauro;Carmen;RF;Outfielder;CF
124674;Tony York;Tony;SS;Shortstop;SS
121251;Roberto Rivera;Roberto;P;Pitcher;P
115560;Chuck Hartenstein;Chuck;NULL;NULL;P
113961;Scott Eyre;Scott;P;Pitcher;P
324432;Augie Ojeda;Augie;SS;Shortstop;SS
113291;Delino DeShields;Delino;LF;Outfielder;2B
124000;David Weathers;David;P;Pitcher;P
123206;Wayne Terwilliger;Wayne;2B;Second Base;2B
150218;Jacque Jones;Jacque;RF;Outfielder;LF
114366;Bill Foen;Bill;P;Pitcher;P
122428;Bull Smith;Bull;LF;Outfielder;LF
276514;Kevin Gregg;Kevin;P;Pitcher;P
407892;Andy Pratt;Andy;P;Pitcher;P
425840;Neal Cotts;Neal;P;Pitcher;P
277415;Danny Young;Danny;P;Pitcher;P
116248;Trenidad Hubbard;Trenidad;NULL;NULL;LF
453539;Sam Fuld;Sam;NULL;NULL;LF
119330;Jake Mooty;Jake;P;Pitcher;P
430203;David DeJesus;David;RF;Outfielder;CF
118440;Bobby Mattick;Bobby;SS;Shortstop;SS
115954;Dave Hillman;Dave;P;Pitcher;P
118970;Ron Meridith;Ron;P;Pitcher;P
117067;Bruce Kimm;Bruce;C;Catcher;C
118501;Bill McAfee;Bill;P;Pitcher;P
623520;David Bote;David;2B;Second Base;3B
123664;Gary Varsho;Gary;NULL;NULL;RF
113503;Taylor Douthit;Taylor;CF;Outfielder;CF
112277;Bubba Church;Bubba;P;Pitcher;P
119333;Jerry Morales;Jerry;NULL;NULL;RF
457727;Cameron Maybin;Cameron;RF;Outfielder;CF
117963;Peanuts Lowrey;Peanuts;LF;Outfielder;LF
110757;Clyde Beck;Clyde;2B;Second Base;3B
444875;Matt Murton;Matt;RF;Outfielder;LF
119988;Nate Oliver;Nate;NULL;NULL;2B
124061;Johnny Welch;Johnny;P;Pitcher;P
115825;Jose Hernandez;JosĂ©;SS;Shortstop;SS
500874;Jose A. Martinez;JosĂ© A.;NULL;NULL;RF
519388;Josh Vitters;Josh;3B;Third Base;3B
110077;Dewey Adkins;Dewey;P;Pitcher;P
122816;Tim Stoddard;Tim;P;Pitcher;P
110402;Bobby Ayala;Bobby;P;Pitcher;P
114119;Tom Filer;Tom;P;Pitcher;P
119858;Don Nottebart;Don;P;Pitcher;P
122193;Clyde Shoun;Clyde;P;Pitcher;P
570489;Arismendy AlcĂˇntara;Arismendy;2B;Second Base;CF
114708;Dave Gerard;Dave;P;Pitcher;P
119535;Bobby Murcer;Bobby;RF;Outfielder;RF
115263;Ricky Gutierrez;Ricky;SS;Shortstop;SS
121930;Pete Scott;Pete;LF;Outfielder;RF
111433;Roger Bresnahan;Roger;C;Catcher;C
115026;Peaches Graham;Peaches;P;Pitcher;C
122788;Mack Stewart;Mack;P;Pitcher;P
120916;Ferdo Ramsey;Ferdo;CF;Outfielder;CF
519299;Eric Sogard;Eric;2B;Second Base;2B
518614;Daniel Descalso;Daniel;2B;Second Base;2B
452733;Tom Gorzelanny;Tom;P;Pitcher;P
114057;John Felske;John;C;Catcher;C
117253;Cal Koonce;Cal;P;Pitcher;P
124017;Earl Webb;Earl;RF;Outfielder;RF
124727;Zip Zabel;Zip;P;Pitcher;P
116475;Cleo James;Cleo;NULL;NULL;CF
124277;Bob Will;Bob;RF;Outfielder;RF
122774;Tuffy Stewart;Tuffy;RF;Outfielder;OF
542999;Tony Campana;Tony;LF;Outfielder;CF
117516;Dan Larson;Dan;P;Pitcher;P
118029;Ed Lynch;Ed;P;Pitcher;P
117048;Paul Kilgus;Paul;P;Pitcher;P
124665;Steve Yerkes;Steve;2B;Second Base;2B
124771;Heinie Zimmerman;Heinie;3B;Third Base;3B
121885;Buddy Schultz;Buddy;P;Pitcher;P
118099;Steve Macko;Steve;2B;Second Base;2B
123351;Ben Tincup;Ben;P;Pitcher;P
119947;Bob O'Farrell;Bob;C;Catcher;C
123941;Jack Warner;Jack;P;Pitcher;P
124310;Cy Williams;Cy;CF;Outfielder;OF
120612;Juan Pizarro;Juan;P;Pitcher;P
113547;Solly Drake;Solly;CF;Outfielder;CF
110259;John Andre;John;P;Pitcher;P
452764;Chris Carpenter;Chris;P;Pitcher;P
112761;Larry Co;Larry;C;Catcher;C
595879;Javier Baez;Javier;SS;Shortstop;SS
114613;Rob Gardner;Rob;P;Pitcher;P
453304;John Gaub;John;P;Pitcher;P
112976;Jack Cusick;Jack;SS;Shortstop;SS
150252;Chad Hermansen;Chad;CF;Outfielder;CF
114409;Mark Freeman;Mark;P;Pitcher;P
124290;Billy Williams;Billy;RF;Outfielder;OF
456133;Ryan O'Malley;Ryan;P;Pitcher;P
122008;Bill Serena;Bill;3B;Third Base;3B
120908;Domingo Ramos;Domingo;3B;Third Base;SS
114005;Carmen Fanzone;Carmen;3B;Third Base;3B
114177;Bob Fisher;Bob;SS;Shortstop;SS
683737;Michael Busch;Michael;1B;First Base;1B
120417;Yorkis Perez;Yorkis;P;Pitcher;P
124025;Mitch Webster;Mitch;LF;Outfielder;CF
118418;Nelson Mathews;Nelson;CF;Outfielder;CF
119587;Red Murray;Red;RF;Outfielder;RF
458628;Joe Mather;Joe;CF;Outfielder;CF
676679;Luis Vazquez;Luis;SS;Shortstop;SS
596027;Dillon Maples;Dillon;P;Pitcher;P
455139;Robinson Chirinos;Robinson;C;Catcher;C
117824;Dick Littlefield;Dick;P;Pitcher;P
123597;Pedro Valdes;Pedro;NULL;NULL;RF
120822;Jim Qualls;Jim;CF;Outfielder;CF
429719;Edwin Jackson;Edwin;P;Pitcher;P
114950;Ival Goodman;Ival;LF;Outfielder;RF
123836;Mike Walker;Mike;P;Pitcher;P
119530;Joe Munson;Joe;LF;Outfielder;RF
570240;Feli Pena;FĂ©li;P;Pitcher;P
136660;Mark DeRosa;Mark;2B;Second Base;3B
112272;Steve Christmas;Steve;C;Catcher;C
114325;Tony Fossas;Tony;P;Pitcher;P
121931;Gary Scott;Gary;3B;Third Base;3B
110517;Jay Baller;Jay;P;Pitcher;P
122441;Paul Smith;Paul;NULL;NULL;1B
124266;Curtis Wilkerson;Curtis;3B;Third Base;SS
111090;Jeff Blauser;Jeff;NULL;NULL;SS
124006;Jim Weaver;Jim;P;Pitcher;P
115058;Joe Graves;Joe;3B;Third Base;3B
113849;Steve Engel;Steve;P;Pitcher;P
113098;Brock Davis;Brock;CF;Outfielder;CF
113688;Don Eaddy;Don;NULL;NULL;3B
111305;Bob Bowman;Bob;P;Pitcher;P
110195;Porfi Altamirano;Porfi;P;Pitcher;P
111941;Bill Campbell;Bill;P;Pitcher;P
122152;Tommy Shields;Tommy;2B;Second Base;3B
122007;Dan Serafini;Dan;P;Pitcher;P
117458;Don Landrum;Don;CF;Outfielder;CF
120599;Marc Pisciotta;Marc;P;Pitcher;P
124359;Jim Willis;Jim;P;Pitcher;P
115104;Willie Greene;Willie;3B;Third Base;3B
115188;Greg Gross;Greg;CF;Outfielder;LF
118624;Lindy McDaniel;Lindy;P;Pitcher;P
121886;Barney Schultz;Barney;P;Pitcher;P
120128;Orval Overall;Orval;P;Pitcher;P
117300;Ken Kravec;Ken;P;Pitcher;P
116679;Davy Jones;Davy;RF;Outfielder;LF
119488;Terry Mulholland;Terry;P;Pitcher;P
122320;Sterling Slaughter;Sterling;P;Pitcher;P
116918;Mick Kelleher;Mick;SS;Shortstop;SS
123991;Eddie Watt;Eddie;P;Pitcher;P
123872;Lee Walls;Lee;LF;Outfielder;RF
425485;Feli Sanchez;Feli;P;Pitcher;P
119747;Ray Newman;Ray;P;Pitcher;P
118120;Greg Maddu;Greg;P;Pitcher;P
119292;Donnie Moore;Donnie;P;Pitcher;P
117422;Jack Lamabe;Jack;P;Pitcher;P
114421;Larry French;Larry;P;Pitcher;P
117333;Chris Krug;Chris;C;Catcher;C
111641;Clay Bryant;Clay;P;Pitcher;P
121315;Jeff Robinson;Jeff;P;Pitcher;P
111006;Doug Bird;Doug;P;Pitcher;P
115010;Earl Grace;Earl;C;Catcher;C
111268;Ed Bouchee;Ed;1B;First Base;1B
120176;Karl Pagel;Karl;NULL;NULL;1B
122375;Earl Smith;Earl;LF;Outfielder;OF
150093;Alfonso Soriano;Alfonso;LF;Outfielder;LF
430900;Michael Wuertz;Michael;P;Pitcher;P
110678;Johnny Bates;Johnny;CF;Outfielder;CF
113059;Bobby Darwin;Bobby;NULL;NULL;RF
121017;Phil Regan;Phil;P;Pitcher;P
123803;Matt Walbeck;Matt;C;Catcher;C
111476;Leon Brinkopf;Leon;SS;Shortstop;SS
116951;Joe Kelly;Joe;1B;First Base;LF
114205;Ma Flack;Ma;RF;Outfielder;RF
118827;Norm McMillan;Norm;2B;Second Base;3B
110063;Bobby Adams;Bobby;3B;Third Base;3B
121785;Bob Scheffing;Bob;C;Catcher;C
119128;Ward Miller;Ward;CF;Outfielder;LF
121087;Ed Reulbach;Ed;P;Pitcher;P
120412;Mike Perez;Mike;P;Pitcher;P
112362;Tommy Clarke;Tommy;C;Catcher;C
460003;Taylor Teagarden;Taylor;C;Catcher;C
110713;Jose Bautista;Jose;P;Pitcher;P
122996;Rick Sutcliffe;Rick;P;Pitcher;P
534428;Esmailin Caridad;Esmailin;P;Pitcher;P
124523;Tony Womack;Tony;2B;Second Base;2B
117616;Bill Lee;Bill;P;Pitcher;P
111513;Mandy Brooks;Mandy;RF;Outfielder;CF
121398;Dan Rohn;Dan;NULL;NULL;2B
346848;John Grabow;John;P;Pitcher;P
116094;Billy Holm;Billy;C;Catcher;C
121930;Pete Scott;Pete;RF;Outfielder;RF
122700;Ed Stauffer;Ed;P;Pitcher;P
435220;Ryan Sweeney;Ryan;CF;Outfielder;RF
116603;Lance Johnson;Lance;CF;Outfielder;CF
453539;Sam Fuld;Sam;LF;Outfielder;LF
112084;James Casey;James;3B;Third Base;3B
621550;Patrick Wisdom;Patrick;1B;First Base;1B
110554;Bret Barberie;Bret;NULL;NULL;2B
150040;Jose Molina;JosĂ©;C;Catcher;C
122830;Steve Stone;Steve;P;Pitcher;P
114576;Bob Garbark;Bob;C;Catcher;C
112176;Cliff Chambers;Cliff;P;Pitcher;P
656803;James Norwood;James;P;Pitcher;P
112141;Bill Caudill;Bill;P;Pitcher;P
117829;Jack Littrell;Jack;SS;Shortstop;SS
124636;Marvell Wynne;Marvell;CF;Outfielder;CF
116650;Jay Johnstone;Jay;NULL;NULL;RF
518553;Steve Cishek;Steve;P;Pitcher;P
641355;Cody Bellinger;Cody;RF;Outfielder;CF
112545;Clint Compton;Clint;P;Pitcher;P
543089;Taylor Davis;Taylor;C;Catcher;C
111533;Brant Brown;Brant;NULL;NULL;LF
122251;Randall Simon;Randall;1B;First Base;1B
116511;Hal Jeffcoat;Hal;P;Pitcher;P
114441;Owen Friend;Owen;2B;Second Base;2B
122902;George Stueland;George;P;Pitcher;P
605388;Adam Morgan;Adam;P;Pitcher;P
114711;George Gerberman;George;P;Pitcher;P
111905;Dolph Camilli;Dolph;1B;First Base;1B
111264;Kent Bottenfield;Kent;P;Pitcher;P
543401;Jason Kipnis;Jason;2B;Second Base;2B
596825;Robel Garcia;Robel;2B;Second Base;2B
117593;Hal Leathers;Hal;SS;Shortstop;SS
673548;Seiya Suzuki;Seiya;RF;Outfielder;RF
643565;Mike Tauchman;Mike;CF;Outfielder;RF
119707;Lynn Nelson;Lynn;P;Pitcher;P
456121;Chris Denorfia;Chris;LF;Outfielder;RF
120133;Mickey Owen;Mickey;C;Catcher;C
120167;Andy Pafko;Andy;CF;Outfielder;CF
451192;James Adduci;James;RF;Outfielder;1B
110045;Red Adams;Red;P;Pitcher;P
117080;Jim King;Jim;RF;Outfielder;RF
110303;Jimmy Archer;Jimmy;C;Catcher;C
115196;Ernie Groth;Ernie;P;Pitcher;P
150295;Micah Bowie;Micah;P;Pitcher;P
113366;Pickles Dillhoefer;Pickles;C;Catcher;C
665804;Miguel Amaya;Miguel;C;Catcher;C
115809;Billy Herman;Billy;2B;Second Base;2B
119837;Fred Norman;Fred;P;Pitcher;P
471083;Miguel Montero;Miguel;C;Catcher;C
123252;Lee Thomas;Lee;NULL;NULL;OF
121565;Rip Russell;Rip;1B;First Base;1B
122606;Carl Spongberg;Carl;P;Pitcher;P
111173;Jim Bolger;Jim;NULL;NULL;CF
121622;Vic Saier;Vic;1B;First Base;1B
121878;Art Schult;Art;1B;First Base;1B
112725;Ensign Cottrell;Ensign;P;Pitcher;P
124520;Harry Wolter;Harry;RF;Outfielder;OF
430683;Justin Germano;Justin;P;Pitcher;P
429717;Dan Haren;Dan;P;Pitcher;P
119929;Ken O'Dea;Ken;C;Catcher;C
120167;Andy Pafko;Andy;3B;Third Base;CF
461865;Andrew Romine;Andrew;SS;Shortstop;SS
115853;Leroy Herrmann;Leroy;P;Pitcher;P
444844;Jake Fo;Jake;NULL;NULL;LF
115348;Mel Hall;Mel;NULL;NULL;LF
118033;Dummy Lynch;Dummy;2B;Second Base;2B
111939;Gilly Campbell;Gilly;C;Catcher;C
448179;Rich Hill;Rich;P;Pitcher;P
117354;Harvey Kuenn;Harvey;LF;Outfielder;SS
594986;Kyle Ryan;Kyle;P;Pitcher;P
117444;Les Lancaster;Les;P;Pitcher;P
119749;Bobo Newsom;Bobo;P;Pitcher;P
123305;Scot Thompson;Scot;NULL;NULL;RF
117334;Gene Krug;Gene;NULL;NULL;PH
114573;Joe Garagiola;Joe;C;Catcher;C
112899;Hector Cruz;Hector;NULL;NULL;3B
114861;Jim Gleeson;Jim;RF;Outfielder;RF
122915;Tanyon Sturtze;Tanyon;P;Pitcher;P
110067;Terry Adams;Terry;P;Pitcher;P
118533;Bill McCabe;Bill;2B;Second Base;RF
115609;Joe Hatten;Joe;P;Pitcher;P
119764;Dolan Nichols;Dolan;P;Pitcher;P
112536;Jorge Comellas;Jorge;P;Pitcher;P
124580;Tim Worrell;Tim;P;Pitcher;P
123811;Rube Walker;Rube;C;Catcher;C
111921;Vin Campbell;Vin;CF;Outfielder;CF
123466;Manny Trillo;Manny;1B;First Base;2B
122573;Chris Speier;Chris;3B;Third Base;SS
111050;Tim Blackwell;Tim;C;Catcher;C
121169;Beryl Richmond;Beryl;P;Pitcher;P
111192;Julio Bonetti;Julio;P;Pitcher;P
115257;Frankie Gustine;Frankie;3B;Third Base;2B
123130;Danny Taylor;Danny;LF;Outfielder;OF
117712;Roy Leslie;Roy;1B;First Base;1B
118323;Jim Marshall;Jim;1B;First Base;1B
118115;Clarence Maddern;Clarence;1B;First Base;LF
118361;Carmelo Martinez;Carmelo;1B;First Base;LF
110091;Hank Aguirre;Hank;P;Pitcher;P
547172;Tony Wolters;Tony;C;Catcher;C
430592;Ronny Cedeno;Ronny;2B;Second Base;SS
117587;Fred Lear;Fred;1B;First Base;3B
113514;Tom Downey;Tom;SS;Shortstop;SS
500674;Eduardo Sanchez;Eduardo;P;Pitcher;P
112279;Len Church;Len;P;Pitcher;P
122754;John Stephenson;John;NULL;NULL;C
113576;Dick Drott;Dick;P;Pitcher;P
112940;Will Cune;Will;P;Pitcher;P
118276;Rabbit Maranville;Rabbit;SS;Shortstop;SS
150182;Scott Williamson;Scott;P;Pitcher;P
120606;Clarke Pittenger;Clarke;SS;Shortstop;SS
121903;Bill Schuster;Bill;SS;Shortstop;SS
119717;Dick Nen;Dick;1B;First Base;1B
115864;Buck Herzog;Buck;2B;Second Base;2B
120047;Kevin Orie;Kevin;3B;Third Base;3B
113365;Steve Dillard;Steve;2B;Second Base;2B
113112;Tommy Davis;Tommy;LF;Outfielder;LF
122644;Matt Stairs;Matt;1B;First Base;RF
435400;Jason Motte;Jason;P;Pitcher;P
110129;Manny Aleander;Manny;SS;Shortstop;SS
121709;Ed Sauer;Ed;LF;Outfielder;LF
475479;David Phelps;David;P;Pitcher;P
608365;Addison Russell;Addison;SS;Shortstop;SS
450641;Quintin Berry;Quintin;NULL;NULL;LF
425557;Jeff Baker;Jeff;NULL;NULL;2B
119834;Irv Noren;Irv;NULL;NULL;CF
575929;Willson Contreras;Willson;C;Catcher;C
124739;Eduardo Zambrano;Eduardo;NULL;NULL;OF
119497;Eddie Mulligan;Eddie;SS;Shortstop;3B
448753;Justin Berg;Justin;P;Pitcher;P
