"playerid","year","rank","playerfullname","playerusename","teamabbrev","teamname","leaguename","positionabbrev","position","primarypositionabbrev","plateappearances","totalbases","babip","walksperplateappearance","strikeoutsperplateappearance","homerunsperplateappearance","walksperstrikeout","iso","gamesplayed","runs","doubles","triples","homeruns","strikeouts","baseonballs","hits","avg","atbats","slg","rbi","numberofpitches","pitchesperplateappearance","caughtstealing","stolenbases","stolenbasepercentage","hitbypitch","obp","ops","sacbunts","groundintodoubleplay","sacflies","intentionalwalks","walkoffs","flyouts","totalswings","swingandmisses","ballsinplay","popouts","lineouts","groundouts","groundhits","catchersinterference"
596027,2017,526,"Dillon Maples","Dillon","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
570240,2017,526,"FĂ©li PeĂ±a","FĂ©li","CHC","Chicago Cubs","NL","P","Pitcher","P",4,0,".000","0.25","0.25","0","1","0",25,0,0,0,0,"1.0",1,0,"0",3,"0","0","13","3.25","0","0",NULL,"0","0.25","0.25","0","0","0","0","0","0","7","1","2","0","0","2","0","0"
500779,2017,526,"Jose Quintana","Jose","CHC","Chicago Cubs","NL","P","Pitcher","P",33,2,".222","0.03","0.515","0","0.059","0",32,2,0,0,0,"17.0",1,2,"0.08",25,"0.08","4","131","3.97","0","0",NULL,"0","0.111","0.191","6","0","1","0","0","1","53","24","15","0","1","11","0","0"
444468,2017,526,"HĂ©ctor RondĂłn","HĂ©ctor","CHC","Chicago Cubs","NL","P","Pitcher","P",2,1,".500","0","0","0",NULL,"0",61,0,0,0,0,"0.0",0,1,"0.5",2,"0.5","0","14","7","0","0",NULL,"0","0.5","1","0","0","0","0","0","0","8","1","2","0","0","1","1","0"
467008,2017,526,"Pedro Strop","Pedro","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,".000","0","0","0",NULL,"0",69,0,0,0,0,"0.0",0,0,"0",1,"0","0","2","2","0","0",NULL,"0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0"
627500,2017,526,"Jen-Ho Tseng","Jen-Ho","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,".000","0","0","0",NULL,"0",2,0,0,0,0,"0.0",0,0,"0",1,"0","1","2","2","0","0",NULL,"0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0"
493157,2017,526,"Koji Uehara","Koji","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,49,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
458677,2017,526,"Justin Wilson","Justin","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,65,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
657145,2017,526,"Mark Zagunis","Mark","CHC","Chicago Cubs","NL","RF","Outfielder","RF",18,0,".000","0.222","0.333","0","0.667","0",7,0,0,0,0,"6.0",4,0,"0",14,"0","1","83","4.611","0","2","1","0","0.222","0.222","0","0","0","0","0","2","28","8","8","0","1","5","0","0"
642239,2017,526,"Rob Zastryzny","Rob","CHC","Chicago Cubs","NL","P","Pitcher","P",3,1,".333","0","0","0",NULL,"0",4,0,0,0,0,"0.0",0,1,"0.333",3,"0.333","0","6","2","0","0",NULL,"0","0.333","0.666","0","0","0","0","0","1","3","0","3","0","0","1","0","0"
595879,2018,16,"Javier BĂˇez","Javier","CHC","Chicago Cubs","NL","2B","Second Base","SS",645,336,".347","0.045","0.259","0.053","0.174","0.264",160,101,40,9,34,"167.0",29,176,"0.29",606,"0.554","111","2245","3.481","9","21","0.7","5","0.326","0.88","1","10","4","8","0","55","1295","439","444","30","32","151","58","0"
656941,2018,39,"Kyle Schwarber","Kyle","CHC","Chicago Cubs","NL","LF","Outfielder","DH",510,200,".288","0.153","0.275","0.051","0.557","0.229",137,64,14,3,26,"140.0",78,102,"0.238",428,"0.467","61","2139","4.194","3","4","0.571","1","0.356","0.823","1","6","2","20","0","41","887","268","291","16","32","100","34","0"
519203,2018,43,"Anthony Rizzo","Anthony","CHC","Chicago Cubs","NL","1B","First Base","1B",665,266,".287","0.105","0.12","0.038","0.875","0.187",153,74,29,1,25,"80.0",70,160,"0.283",566,"0.47","101","2444","3.675","4","6","0.6","20","0.376","0.846","0","11","9","15","1","93","1160","198","495","37","57","148","44","0"
664023,2018,140,"Ian Happ","Ian","CHC","Chicago Cubs","NL","CF","Outfielder","LF",462,158,".362","0.152","0.361","0.032","0.419","0.176",142,56,19,2,15,"167.0",70,90,"0.233",387,"0.408","44","1917","4.149","4","8","0.667","3","0.353","0.761","0","6","2","9","0","34","820","312","222","15","20","63","27","0"
592178,2018,166,"Kris Bryant","Kris","CHC","Chicago Cubs","NL","3B","Third Base","RF",457,179,".342","0.105","0.234","0.028","0.449","0.188",102,59,28,3,13,"107.0",48,106,"0.272",389,"0.46","52","1742","3.812","4","2","0.333","17","0.374","0.834","0","5","3","6","0","55","848","233","285","25","25","74","27","0"
